uid treatment n p time
timings_reduc2_100_1_1 timings_reduc2 100 1 4.38690185547e-05
timings_reduc2_100_1_2 timings_reduc2 100 1 3.81469726562e-05
timings_reduc2_100_1_3 timings_reduc2 100 1 4.10079956055e-05
timings_reduc2_100_1_4 timings_reduc2 100 1 6.19888305664e-05
timings_reduc2_100_1_5 timings_reduc2 100 1 5.69820404053e-05
timings_reduc2_100_1_6 timings_reduc2 100 1 5.50746917725e-05
timings_reduc2_100_1_7 timings_reduc2 100 1 6.50882720947e-05
timings_reduc2_100_1_8 timings_reduc2 100 1 4.41074371338e-05
timings_reduc2_100_1_9 timings_reduc2 100 1 4.19616699219e-05
timings_reduc2_100_1_10 timings_reduc2 100 1 4.50611114502e-05
timings_reduc2_10_1_1 timings_reduc2 10 1 2.40802764893e-05
timings_reduc2_10_1_2 timings_reduc2 10 1 2.00271606445e-05
timings_reduc2_10_1_3 timings_reduc2 10 1 1.78813934326e-05
timings_reduc2_10_1_4 timings_reduc2 10 1 1.69277191162e-05
timings_reduc2_10_1_5 timings_reduc2 10 1 1.90734863281e-05
timings_reduc2_10_1_6 timings_reduc2 10 1 1.90734863281e-05
timings_reduc2_10_1_7 timings_reduc2 10 1 2.00271606445e-05
timings_reduc2_10_1_8 timings_reduc2 10 1 1.69277191162e-05
timings_reduc2_10_1_9 timings_reduc2 10 1 1.8835067749e-05
timings_reduc2_10_1_10 timings_reduc2 10 1 1.69277191162e-05
timings_reduc2_5000_1_1 timings_reduc2 5000 1 0.00156903266907
timings_reduc2_5000_1_2 timings_reduc2 5000 1 0.00130605697632
timings_reduc2_5000_1_3 timings_reduc2 5000 1 0.00210189819336
timings_reduc2_5000_1_4 timings_reduc2 5000 1 0.00205492973328
timings_reduc2_5000_1_5 timings_reduc2 5000 1 0.00231885910034
timings_reduc2_5000_1_6 timings_reduc2 5000 1 0.00219082832336
timings_reduc2_5000_1_7 timings_reduc2 5000 1 0.00206899642944
timings_reduc2_5000_1_8 timings_reduc2 5000 1 0.00153803825378
timings_reduc2_5000_1_9 timings_reduc2 5000 1 0.00154304504395
timings_reduc2_5000_1_10 timings_reduc2 5000 1 0.00156188011169
timings_reduc2_100_4_1 timings_reduc2 100 4 0.111887931824
timings_reduc2_100_4_2 timings_reduc2 100 4 0.0673699378967
timings_reduc2_100_4_3 timings_reduc2 100 4 0.0957880020142
timings_reduc2_100_4_4 timings_reduc2 100 4 0.0295629501343
timings_reduc2_100_4_5 timings_reduc2 100 4 0.08638215065
timings_reduc2_100_4_6 timings_reduc2 100 4 0.253154993057
timings_reduc2_100_4_7 timings_reduc2 100 4 0.0227499008179
timings_reduc2_100_4_8 timings_reduc2 100 4 0.124771118164
timings_reduc2_100_4_9 timings_reduc2 100 4 0.224441051483
timings_reduc2_100_4_10 timings_reduc2 100 4 0.0428252220154
timings_reduc2_10_4_1 timings_reduc2 10 4 0.045697927475
timings_reduc2_10_4_2 timings_reduc2 10 4 0.000653982162476
timings_reduc2_10_4_3 timings_reduc2 10 4 0.173042058945
timings_reduc2_10_4_4 timings_reduc2 10 4 0.0278520584106
timings_reduc2_10_4_5 timings_reduc2 10 4 0.0355689525604
timings_reduc2_10_4_6 timings_reduc2 10 4 0.0486359596252
timings_reduc2_10_4_7 timings_reduc2 10 4 0.0346610546112
timings_reduc2_10_4_8 timings_reduc2 10 4 0.0243029594421
timings_reduc2_10_4_9 timings_reduc2 10 4 0.145225048065
timings_reduc2_10_4_10 timings_reduc2 10 4 0.205312013626
timings_reduc2_5000_4_1 timings_reduc2 5000 4 0.00149607658386
timings_reduc2_5000_4_2 timings_reduc2 5000 4 0.0685031414032
timings_reduc2_5000_4_3 timings_reduc2 5000 4 0.975566864014
timings_reduc2_5000_4_4 timings_reduc2 5000 4 1.21940398216
timings_reduc2_5000_4_5 timings_reduc2 5000 4 0.0121569633484
timings_reduc2_5000_4_6 timings_reduc2 5000 4 0.000781059265137
timings_reduc2_5000_4_7 timings_reduc2 5000 4 0.0142018795013
timings_reduc2_5000_4_8 timings_reduc2 5000 4 0.00181984901428
timings_reduc2_5000_4_9 timings_reduc2 5000 4 0.216637849808
timings_reduc2_5000_4_10 timings_reduc2 5000 4 0.0940568447113
timings_reduc2_100_16_1 timings_reduc2 100 16 0.235985994339
timings_reduc2_100_16_2 timings_reduc2 100 16 0.413675069809
timings_reduc2_100_16_3 timings_reduc2 100 16 0.446506977081
timings_reduc2_100_16_4 timings_reduc2 100 16 0.363841056824
timings_reduc2_100_16_5 timings_reduc2 100 16 0.18937087059
timings_reduc2_100_16_6 timings_reduc2 100 16 0.0592541694641
timings_reduc2_100_16_7 timings_reduc2 100 16 0.182901859283
timings_reduc2_100_16_8 timings_reduc2 100 16 0.081750869751
timings_reduc2_100_16_9 timings_reduc2 100 16 0.227642059326
timings_reduc2_100_16_10 timings_reduc2 100 16 0.451016187668
timings_reduc2_10_16_1 timings_reduc2 10 16 0.0655460357666
timings_reduc2_10_16_2 timings_reduc2 10 16 0.280220031738
timings_reduc2_10_16_3 timings_reduc2 10 16 0.10219502449
timings_reduc2_10_16_4 timings_reduc2 10 16 0.140698194504
timings_reduc2_10_16_5 timings_reduc2 10 16 0.124898910522
timings_reduc2_10_16_6 timings_reduc2 10 16 0.0765278339386
timings_reduc2_10_16_7 timings_reduc2 10 16 0.217960119247
timings_reduc2_10_16_8 timings_reduc2 10 16 0.169593095779
timings_reduc2_10_16_9 timings_reduc2 10 16 0.372223854065
timings_reduc2_10_16_10 timings_reduc2 10 16 0.393530130386
timings_reduc2_5000_16_1 timings_reduc2 5000 16 0.334710121155
timings_reduc2_5000_16_2 timings_reduc2 5000 16 0.0955469608307
timings_reduc2_5000_16_3 timings_reduc2 5000 16 0.059054851532
timings_reduc2_5000_16_4 timings_reduc2 5000 16 0.307393074036
timings_reduc2_5000_16_5 timings_reduc2 5000 16 0.238362789154
timings_reduc2_5000_16_6 timings_reduc2 5000 16 0.36491394043
timings_reduc2_5000_16_7 timings_reduc2 5000 16 0.363657951355
timings_reduc2_5000_16_8 timings_reduc2 5000 16 0.261890888214
timings_reduc2_5000_16_9 timings_reduc2 5000 16 2.44303607941
timings_reduc2_5000_16_10 timings_reduc2 5000 16 0.176877975464
timings_reduc2_100_64_1 timings_reduc2 100 64 0.805815935135
timings_reduc2_100_64_2 timings_reduc2 100 64 0.222371101379
timings_reduc2_100_64_3 timings_reduc2 100 64 0.531755924225
timings_reduc2_100_64_4 timings_reduc2 100 64 0.840296983719
timings_reduc2_100_64_5 timings_reduc2 100 64 1.00588798523
timings_reduc2_100_64_6 timings_reduc2 100 64 0.671684026718
timings_reduc2_100_64_7 timings_reduc2 100 64 0.195802927017
timings_reduc2_100_64_8 timings_reduc2 100 64 0.213350057602
timings_reduc2_100_64_9 timings_reduc2 100 64 0.311789989471
timings_reduc2_100_64_10 timings_reduc2 100 64 0.19765496254
timings_reduc2_10_64_1 timings_reduc2 10 64 0.605678081512
timings_reduc2_10_64_2 timings_reduc2 10 64 0.72833108902
timings_reduc2_10_64_3 timings_reduc2 10 64 0.393151044846
timings_reduc2_10_64_4 timings_reduc2 10 64 0.213828086853
timings_reduc2_10_64_5 timings_reduc2 10 64 0.310333967209
timings_reduc2_10_64_6 timings_reduc2 10 64 0.409934043884
timings_reduc2_10_64_7 timings_reduc2 10 64 0.373018980026
timings_reduc2_10_64_8 timings_reduc2 10 64 0.306858062744
timings_reduc2_10_64_9 timings_reduc2 10 64 0.17224407196
timings_reduc2_10_64_10 timings_reduc2 10 64 0.301389217377
timings_reduc2_5000_64_1 timings_reduc2 5000 64 0.197265863419
timings_reduc2_5000_64_2 timings_reduc2 5000 64 0.623110055923
timings_reduc2_5000_64_3 timings_reduc2 5000 64 0.480223894119
timings_reduc2_5000_64_4 timings_reduc2 5000 64 0.353204965591
timings_reduc2_5000_64_5 timings_reduc2 5000 64 0.395212888718
timings_reduc2_5000_64_6 timings_reduc2 5000 64 0.18653512001
timings_reduc2_5000_64_7 timings_reduc2 5000 64 0.176879882812
timings_reduc2_5000_64_8 timings_reduc2 5000 64 0.178617954254
timings_reduc2_5000_64_9 timings_reduc2 5000 64 0.362529993057
timings_reduc2_5000_64_10 timings_reduc2 5000 64 0.503664970398
timings_reduc2_100_256_1 timings_reduc2 100 256 1.13175797462
timings_reduc2_100_256_2 timings_reduc2 100 256 0.723219156265
timings_reduc2_100_256_3 timings_reduc2 100 256 0.826730012894
timings_reduc2_100_256_4 timings_reduc2 100 256 0.612907886505
timings_reduc2_100_256_5 timings_reduc2 100 256 0.646343946457
timings_reduc2_100_256_6 timings_reduc2 100 256 1.09020590782
timings_reduc2_100_256_7 timings_reduc2 100 256 1.20429301262
timings_reduc2_100_256_8 timings_reduc2 100 256 1.13869905472
